date_of_race,horse_name,bookie_odds,venue,ew_stake,balance,rating,current_time
09 nov 12:30,Dothraki Prince,26.00,chepstow,0.1,5.17,102.27,09/11/2020 11:55:59
09 nov 13:30,Thedancingman,29.00,chepstow,0.1,4.97,107.16,09/11/2020 11:58:28
09 nov 12:50,The Caretaker,8.50,carlisle,0.1,4.77,102.50,09/11/2020 11:59:08
09 nov 13:40,Switch Hitter,7.50,kempton,0.1,4.57,100.10,09/11/2020 12:01:00
09 nov 14:15,Carolines Charm,8.00,kempton,0.1,4.37,101.02,09/11/2020 12:32:24
09 nov 12:40,Grey Spirit,4.33,kempton,0.1,4.17,102.91,09/11/2020 12:39:33
09 nov 14:25,Kiltealy Briggs,9.00,carlisle,0.1,4.27,101.75,09/11/2020 12:52:28
09 nov 16:00,Lead The Pack,23.00,carlisle,0.1,5.37,100.00,09/11/2020 14:18:07
09 nov 15:53,Itsonlyrocknroll,8.50,kempton,0.1,5.17,101.04,09/11/2020 14:18:47
09 nov 15:45,Grain De Thaix,12.00,chepstow,0.1,5.51,100.83,09/11/2020 14:32:44
09 nov 15:45,Hardy Articos,81.00,chepstow,0.1,5.31,101.99,09/11/2020 14:53:33
09 nov 15:53,Foresee,29.00,kempton,0.1,5.11,103.70,09/11/2020 15:17:53
09 nov 15:45,Star Academy,26.00,chepstow,0.1,4.91,103.12,09/11/2020 15:33:49
09 nov 16:15,Floy Joy,13.00,chepstow,0.1,6.41,100.00,09/11/2020 16:05:18
